img_urls,titles,ratings,authors,details
https://img1.doubanio.com/view/subject/s/public/s33629418.jpg,第三帝国的兴亡,,(美)威廉·夏伊勒(WilliamL.Shirer)/译林出版社/2020-5,美国著名战地记者、历史学家威廉·夏伊勒富有盛名的代表作，自1960年出版以来，始终是读者获得史学通识教育、了解第三帝国历史的最佳读本。
https://img9.doubanio.com/view/subject/s/public/s33624516.jpg,生命是赌注,评价人数不足,（瑞典）本特·扬费尔德/广西师范大学出版社/2020-5,在这本马雅可夫斯基的权威传记中，扬菲尔德从围绕马雅可夫斯基的文学圈子着手，来展开对于马雅可夫斯基短暂一生的追述。
https://img3.doubanio.com/view/subject/s/public/s33596460.jpg,逝物录,8.9,[德]尤迪特·沙朗斯基/中信出版集团/2020-4,本书记录了12件已在地球上永远消逝的事物，通过文字与图像的迷人编织，让人重新审视人类文明的“失与得”。《岛屿书》作者最新作品，2019“德国最美图书”。
https://img1.doubanio.com/view/subject/s/public/s33612958.jpg,东言西语,7.6,郑子宁/敦煌文艺出版社/2020-4,本书以一种深入浅出的方式，化门槛与难度极高、向来被目为“绝学”的方言学与历史语言学为近50个精彩绝伦的故事，为我们在语言中找到了一个全新的中国。
https://img1.doubanio.com/view/subject/s/public/s33603689.jpg,这辈子,9.1,高彩云（口述）/赵丽君（笔录）/杨扬（整理）/四川文艺出版社/2020-4,本书讲述了一位百岁老人的家族兴衰，以及她自己挺过的风风雨雨。由外婆口述、母亲润色、女儿定稿，三代人的打磨使得作品透出鲜活、质朴的底色。
https://img1.doubanio.com/view/subject/s/public/s33554967.jpg,给一个未出生孩子的信,8.8,[意]法拉奇/九州出版社/2020-3,“世界第一女记者”法拉奇用一段未婚母亲对腹中胎儿倾诉的缠绵心曲，拷问社会男女两性的公平公正，追问女性的权益和自我，掏出一个女人心中至为隐密的痛楚与甜蜜、困惑与勇...
https://img1.doubanio.com/view/subject/s/public/s33620677.jpg,唐人如何吟诗,评价人数不足,【日】大岛正二/江苏人民出版社/2020-4-1,在诗歌最鼎盛的唐朝，人们是如何吟咏李白杜甫等的诗歌的呢？本书以复原长安诗人杜牧《江南春》的发音过程为例，对如何复原当时的发音进行了详细说明。
https://img1.doubanio.com/view/subject/s/public/s33609609.jpg,拜占庭的新生,9.3,[英]约翰·朱利叶斯·诺里奇/社会科学文献出版社/2020-4,本书为“拜占庭三部曲”的第一部，从君士坦丁的诞生乃至之前的戴克里先“四帝共治”时代讲起，在公元800年圣诞节查理曼加冕为“罗马人的皇帝”时收尾。
https://img3.doubanio.com/view/subject/s/public/s33621611.jpg,小津安二郎剧本集,9.1,[日]小津安二郎/雅众文化|北京联合出版公司/2020-4,本书集结了小津安二郎最广为人知并获得诸多好评的六部经典作品：《东京物语》《秋刀鱼之味》《麦秋》《浮草》《秋日和》《晚春》。
https://img9.doubanio.com/view/subject/s/public/s33586625.jpg,大卫·林奇：他来自异世界,8.7,[美]丹尼斯·林（DennisLim）/上海文艺出版社/2020-2,本书为我们提供了几种观照林奇及其作品的视角：经年累月的神秘与崇高之谜，超现实主义和后现代主义的创造能量，美国的观念以及善恶的理论。
https://img3.doubanio.com/view/subject/s/public/s33588541.jpg,有悬念的气味，以及不盲从的生活,7.8,颂元/上海文化出版社/2020-3,资深香评人颂元甄选37款小众香水，从试香体验到品牌故事、香水特质再到适用场景，带领读者深入了解小众香水这一独具魅力的领域。
https://img9.doubanio.com/view/subject/s/public/s33600736.jpg,民歌40,,陶晓清|统筹/杨嘉|主编/后浪|四川人民出版社/2020-5,一部完整辑录民歌40年发展流变的百科全书式完全档案，全书由被誉为“民歌之母”的陶晓清统筹制作，图文并茂地记录了这场深刻影响华语流行音乐走向的民歌运动。
